id,direction,acceptance,phases,status
R11,"Owner: common source collection serves agents, workdesk and simple surface.","Search and open the same pinned resource version; linked citations survive updates; expose current and historically applicable versions. Navigation supports statute/rule/case/topic, not just file trees. Local source preservation and shared read projections do not create competing authored copies.",F2/B2,planned
R12,Owner: later vLex cheat sheets provide both content and formatting examples.,"Pending-source entry until owner supplies them. Retain original, date/version and citations; assess legal content separately from rapid-reference layout. Generated text is a candidate until checked.",F0/B0,planned
R13,Owner: skills inform human and agent document/template creation and workflows.,"Versioned method library linked to document type, task and jurisdiction. For example, an Issue–Rule–Application–Conclusion method can guide a brief outline. Method use records its version; it does not supply missing legal or factual support.",F2/B2; F4/B4; F7/B7,planned
R14,Owner: make skills readable from an information icon/pointer and usable by an agent or workflow.,"Brief contextual help plus full readable method; mouse hover where suitable and click/tap/keyboard alternatives. Explicitly distinguish reading guidance, applying a drafting method, and running an implemented check. No hover-only essential information.",F2/B2,planned
R15,Owner: assess human-created and agent-created works against methods/plugins.,"Review existing documents as well as new drafts; findings point to passage, criterion and method version. Manual review remains possible where a skill has not become reliable executable logic.",F2/B2; F4/B4,planned
R16,"Owner explicitly accepted: show distinct **structure/method, legal citation/source, factual support, and substantive legal reasoning/requested relief** checks.","Four independent results with criterion, source/subject version, reviewer/checker and time. Expected sections/citations cannot produce a generic legally validated badge. Automated structure success leaves substantive review pending.",F1/B1; F4/B4,planned
R17,Owner: Office/Gmail-like proposed changes that must be adopted.,"Original versus proposed text, additions/deletions, explanation and category; accept/reject/edit each change. Proposed: group decisions, comment-only findings and conflict detection if the draft changed. Accepting a wording edit is not approval to release, file or serve.",F4/B4,planned
R18,Owner: **court-language translator** converts the user's own spoken/written language into proposed court-appropriate language.,"Preserve the original expression; show a faithful firm alternative with changes explained. Handle profanity, shorthand, emotional language and unsupported diagnostic labels. Do not reverse the task into explaining legal language to the user.",F4/B4,planned
R19,"Owner intent: translator must remain useful for defenses, statements, briefs and other planned submissions.","Document-context-aware proposals favor specific observable conduct and accurate attribution. Missing specifics/support become questions or flags, never invented events, diagnoses, admissions or legal conclusions. Wording quality and factual/legal adequacy remain separate review dimensions.",F4/B4,planned
R20,Owner: LibreOffice belongs in the planned application. Historical handoffs define broader document capabilities.,"Recover intended integration and retained holds. Specify conversion/rendering jobs separately from interactive editing and native tracked changes. Demonstrate document fidelity, metadata, revisions and export behavior with representative fixtures before asserting interoperability.",F6/B6,planned
R21,"Owner: preserve relationship history, case history, documents/drafts and strategy extractions.","Private context records and versioned originals; each distinguishes personal account, allegation, inference, accepted factual support and work product. Unknown dates and competing accounts remain expressible. Importing a draft does not make it filed or factual authority.",F5/B5,planned
R22,"Owner: find durable homes for strategy, including potential playbooks.","Proposed: strategy memos, issue/defense records, decision records, unresolved questions and action plans; reusable procedures become playbooks. Preserve selected, rejected and superseded alternatives plus rationale and linked evidence/authority. Do not force all narrative into a playbook template.",F5/B5; F7/B7,planned
R23,"Owner: track vulnerabilities/exposure, anticipated accusations, defenses and weak/problematic parts of own case.","Private risk and response register linking actual versus anticipated allegation, favorable/contrary/missing evidence, potential responses and next actions. A recorded concern is not an admission; a possible accusation is not an established fact.",F5/B5,planned
R24,Owner: evidence-side psychological/emotional-abuse analyses must inform legal defense without being treated as professional expertise or automatically admissible evidence.,"Preserve original analysis and provenance; link source spans, contrary material, method/model/version and limitations where available. Derive research questions, corroboration tasks, professional-review needs or private strategy. Do not launder AI labels into factual or diagnostic authority.",F5/B5,planned
R25,"Owner: viewable overall timeline, with relationship, claims, court events, visitation/parenting contact and custom issue views.",One linked event model with multiple views. Preserve user's private labels while providing neutral court-facing descriptions. Distinguish court calendar/deadlines from what actually happened. Desktop overview/compare and readable phone chronology use the same event IDs.,F3/B3,planned
R26,Owner example: blocked child contact after relationship conflict must be recordable.,"Record reported events, chronology, stated reasons and inferred connection separately, with source links. A sequence is not by itself proof of causation or motive. Proposed: exact/approximate/unknown date, occurrence versus record/knowledge date, and competing versions.",F3/B3,planned
R27,Owner: evidence linking to claims and timeline events is **critical**.,"Link atomic factual claims to exact accepted source versions/spans (page, message, timecode as appropriate), not just a filename or broad paragraph citation. One supported detail must not mark the whole narrative supported. Support and contradiction can coexist.",F3/B3,planned
R28,Owner: make presence/absence of linked evidence visible.,"Proposed separate states: no link, linked/not reviewed, partial support, reviewed support; disputed/contrary signals independent. Link presence is not entailment, proof, authenticity or admission. Inspector explains which proposition each link supports.",F3/B3,planned
R29,Owner: reports of claims without evidence.,"Reproducible filtered reports of no evidence, partial support and unreviewed links, with affected timeline entries and documents. Create a source-search/investigation task from a gap; preserve the original reported claim and uncertainty.",F3/B3,planned
R30,Owner: recover the Google cybersecurity/postmortem timeline project and beginnings of its fork from local resources.,"Identify exact upstream and local fork (name recalled as 'timescale'; candidate identification requires evidence), inventory local changes and intended adapter/use. Preserve planned adoption versus later holds. Assess fork readiness independently of current docket UI.",F3/B3,planned
R31,Owner: multiple graph and timeline visualization libraries were intended for different views.,"Named library register with purpose, source/installed/imported/forked state, intended surface and later disposition. Views consume common records; visual clustering/layout does not create factual relationships. Test zoom, large-data bounds, mouse/keyboard and accessible alternatives.",F3/B3,planned
R32,"Owner: port the existing Gemini-origin prompt design, later a multidisciplinary, multimodel firm.",Recover the original prompts and evolution before claiming the design has been ported. Pending user-supplied prompt series remains an explicit dependency; a generic replacement role list is not completion.,F7/B7,planned
R33,Owner: managing associate is the continuous contact; senior associate handles difficult strategy/final review; dedicated red team challenges it.,"Role cards, handoff and review artifacts that preserve disagreements, assumptions and decisions. Proposed: source/version-pinned context and clear escalation/return paths. Human selects strategy; model agreement does not establish truth.",F7/B7,planned
R34,Owner: firm/document clerk; librarian (historically tentative); firm researcher; **exhibit clerk**.,"Preserve roles and verify original responsibilities. Exhibit clerk is the selected name, replacing 'evidence technician' to avoid custody confusion. Exhibit preparation and accepted source links do not authorize ingestion, evidence alteration or acceptance.",F7/B7,planned
R35,"Owner: historical model allocation included Perplexity search/research, Claude interpersonal work, Gemini analytical work.","Separate roles from configurable provider/model routing. Recover historical allocation without claiming fixed present-day model capabilities. Proposed run records include instructions/method versions, sources, model/provider, outputs and review disposition.",F7/B7,planned
R36,Existing legal release boundary retained.,"Agents can propose research, drafts, critique and exhibit work; human review/approval remains distinct from filing, service or transmission. Released outputs are versioned and immutable; later changes create a new version.",F6/B6; F7/B7,planned
R37,"Owner: roughly half a dozen outside projects were intended to be co-opted/integrated, not merely viewed as inspiration.","Recover **all named candidates** in handoffs/source inventories, with intended capability, local source/fork, modifications, license/provenance verification needed and adopt/adapt/defer/replace/reject disposition. Do not stop at an arbitrary count of six. No silent downgrade from intended integration to inspiration.",F0/B0; F8/B8,planned
R38,Owner: FreeEed is a substantial application deserving deeper review for missed useful patterns; KAPE may be relevant gathering-side context.,Incorporate existing bounded source audit and its limitations. Separate actual Java processing code from absent review application and empty package. Route extraction/custody patterns to evidence/intake owners; legal views consume accepted output. No unverified market exclusivity claim or wholesale tool adoption.,F0/B0; F8/B8,planned
R39,"Owner: preserve useful Legal MCP toolkit and Bloomberg-inspired legal terminal ideas, with less technical operation.","Dense, information-rich workdesk with plain visible names; first-class mouse and keyboard. Optional command palette/shortcuts augment ordinary navigation. Abbreviations, IDs and diagnostic logs do not dominate normal flows.",F1/B1; F8/B8,planned
R40,Owner: reconcile with actual mockup and identify capabilities not discussed that deserve another discussion.,"Per-capability matrix: working/static code, mock-only, documented/historical, partial, absent in bounded review, or unverified. Separate source inspection from browser/runtime proof. Rediscovery register includes original handoff evidence, later disposition and proposed question.",F0/B0; F8/B8,planned
R41,Owner: recover the stack-unification decision made around this discussion.,"Exact decision provenance, chosen common frontend versus observed current implementations, unresolved package/runtime details and migration effect. Do not treat old 'stack locked' text as overriding newer owner instructions. Do not interpret common design tokens alone as a unified framework.",F0/B0; F8/B8,planned
R42,"Owner: original build-kit handoffs must be reviewed carefully, including resources beyond the current mockup.","Coverage receipt for all seven category handoffs, catalogs/matrices and later reconciliations; complete named integration inventory and omitted/held capabilities. Earlier approved directions remain visible even if not implemented.",F0/B0; F6/B6,planned
R43,Owner: comprehensive structured plan and deliverables.,"Requirements traceability, current-state comparison, stack reconciliation, data/API boundaries, phased frontend/backend work, testable acceptance, risks/unknowns, integration dispositions and durable handoff. Planning completion is not implementation, deployment, legal-source verification or full corpus ingestion.",F8/B8,planned
R44,"Owner clarification: this becomes **one part of a unified surface**, and the underlying languages must be brought together.","Language/framework convergence map covering owned applications, donor code and forks. Prefer the selected shared TypeScript/React surface; identify what is ported, adapted, replaced or retained as a bounded engine. Do not treat existing Python/Vue/Java or an older fork decision as an automatic permanent exemption, and do not misreport token/theme alignment as convergence. Handoffs supply the intended integration plan.",F1/B1; F8/B8,planned
R45,"Owner clarification: **all tools in the current Family Court Toolkit** must be brought over or callable, including MCPs and outside resources.","Complete capability inventory beyond reference files: tools/handlers, commands, agents, skills, MCP servers and external resource/provider connections. Give each an embedded, shared-callable, adapted or explicit unresolved disposition and a verification case. Humans and agents reach the same governed capability; mere manifest presence is not proof it is wired or usable. Do not silently omit a capability because it is in the Claude plugin rather than the Codex adaptation.",F2/B2; F7/B7,planned
R46,"Owner clarification: a complete port need not happen immediately, but work must progress toward it.","Phased convergence with useful shared/callable bridges, explicit target and retirement criteria for transitional components. No all-at-once rewrite prerequisite and no permanent patchwork presented as completion.",F8/B8,planned
R47,"Owner recalls substantial toolkit material already moved into a remote database, possibly SurrealDB, to support remote MCP use. This is a lead to verify.","Recover storage/MCP migration handoffs, deployed schema/store/client routes and any count/readback receipts before designing imports. Distinguish configured target, historical migration proof and current reachability. Reuse existing remote source IDs/content where verified; reconcile local versus remote completeness without creating another authoritative copy.",F0/B0; F2/B2,planned
R48,"Owner: inspect Claude, Codex and `.agents` locations for additional legal skills/plugins.","Bounded named-directory inventory and substantive review of relevant unique methods/code, preserving version/jurisdiction/origin and duplicate relationships. Map useful items to reference, drafting/review method, callable tool or workflow; do not install or enable everything found.",F0/B0; F2/B2,planned
R49,"Owner: **no repeated large disclaimers or warning banners** on pages, notes or generated work. Use a flag where validation, references or corroboration are missing.","Compact contextual flags and an on-demand details inspector. No mandatory disclaimer block appended to every item. Separate review dimensions remain available without visual clutter; neutral status language, accessible icons/text and readable original content.",F1/B1; F8/B8,planned
R50,Owner: open the original Legal MCP pack ZIP from the 113 pointers and examine its actual resources/code; investigate earlier 'not expanded' statement.,"Archive identity and member/read coverage receipt, direct content findings and useful code/resource extraction candidates. Distinguish listing/member reads from filesystem extraction; inspect nested resources as needed. Keep original ZIP unchanged and prevent archive path traversal during extraction.",F0/B0; F2/B2,planned
R51,"Owner: Advocatio itself is an **MCP client**, with server registration, tool discovery/use and manual tool calls; CourtListener is a named integration.","Tools and connections workspace plus shared MCP client service: register/edit/test/enable/disable servers, authenticate, discover tools/resources/prompts, schema-driven manual calls, results/run history and scoped agent access. Resolve the other recalled service name from original resources; do not guess. Connected session tools are inventory evidence, not proof this app implements a client.",F2/B2; F8/B8,planned
R52,Owner: any bring-up must follow the newly decided port/address scheme.,"Apply the owner-directed service-port registry: product-code suffix across `54NN` PostgreSQL, `84NN` SurrealDB, `80NN` API/MCP and `90NN` portal; clients use named Tailscale Services. Allocate unregistered products and verify routes/listeners before cutover. Do not reuse old `8765`/`8471` endpoints as current deployment targets.",F0/B0; F8/B8,planned
