id,title,short_title,issuing_body,document_number,citation,authority_class,binding_status,jurisdiction,scope_note,official_url,alternate_urls,archive_url,publication_date,effective_date,last_amended_or_revised,date_accessed,last_verified,verified_by,verification_method,jurisdiction_confirmed_by,http_status,content_hash,superseded,superseding_authority,supersedes,related_authorities,update_frequency,watch_triggers,access_restrictions,copyright_note,reproduction_permitted,pin_cites,unresolved_issues,confidence,file_path,dependent_files,audit_source_ids,audit_provenance,audit_cluster,fetch_alive,source_origin,source_file,nonofficial_mirrors,verification_limit
decision-trees-recording-legality,Recording Legality,Recording Legality,Michigan Supreme Court / State of Michigan,Decision tree source note,Decision tree source note,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Safety gate""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,decision-trees/recording-legality.md,"[""decision-trees/recording-legality.md""]",,,,,,,,
decision-trees-referee-vs-judge,Referee Vs Judge,Referee Vs Judge,Michigan Supreme Court / State of Michigan,Decision tree source note,Decision tree source note,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Safety gate""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,decision-trees/referee-vs-judge.md,"[""decision-trees/referee-vs-judge.md""]",,,,,,,,
eavesdropping-mcl-750-539,Michigan eavesdropping / surveillance penal provisions,MCL 750.539a–h,Michigan Legislature,MCL 750.539a et seq.,MCL 750.539a–750.539h (esp. 750.539c),statute,binding,Michigan statewide,Criminal eavesdropping framework; civil implications in family evidence. INTERPRETATION UNSETTLED regarding one-party consent after Sullivan and AFT Michigan federal litigation.,https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-750-539c,"[""https://www.legislature.mi.gov/documents/mcl/pdf/mcl-328-1931-LXXXII.pdf"", ""https://codes.findlaw.com/mi/chapter-750-michigan-penal-code/mi-comp-laws-750-539c/""]",,,,,2026-08-09,2026-08-09,FindLaw 750.539c fetch; official blocked,FindLaw MCL 750.539c fetched 2026-08-09. Official legislature/PDF blocked.,Michigan Penal Code,mirror 200,unavailable — see audit verification method,unknown,,[],"[""sullivan-v-gray"", ""aft-michigan-project-veritas""]",unknown,[],free,,quote-with-citation,"[""MCL 750.539a"", ""MCL 750.539c"", ""MCL 750.539d"", ""MCL 750.539h""]","[""Present one-party consent status as UNSETTLED — see caselaw cluster."", ""Directing child to record is high-risk regardless of adult-participant theory.""]",high statute identity; doctrine unsettled,,"[""references/michigan/eavesdropping-and-recordings.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-recording-doctrine.md""]",,,statutes,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
examples-annotated-bad-example,Annotated Bad Example,Annotated Bad Example,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/annotated-bad-example.md,"[""examples/annotated-bad-example.md""]",,,,,,,,
examples-worked-chronology-excerpt,Worked Chronology Excerpt,Worked Chronology Excerpt,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-chronology-excerpt.md,"[""examples/worked-chronology-excerpt.md""]",,,,,,,,
examples-worked-deficiency-letter,Worked Deficiency Letter,Worked Deficiency Letter,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-deficiency-letter.md,"[""examples/worked-deficiency-letter.md""]",,,,,,,,
examples-worked-foundation-transcript,Worked Foundation Transcript,Worked Foundation Transcript,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-foundation-transcript.md,"[""examples/worked-foundation-transcript.md""]",,,,,,,,
examples-worked-motion-to-compel,Worked Motion To Compel,Worked Motion To Compel,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-motion-to-compel.md,"[""examples/worked-motion-to-compel.md""]",,,,,,,,
examples-worked-objection,Worked Objection,Worked Objection,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-objection.md,"[""examples/worked-objection.md""]",,,,,,,,
examples-worked-rfa-set,Worked Rfa Set,Worked Rfa Set,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-rfa-set.md,"[""examples/worked-rfa-set.md""]",,,,,,,,
examples-worked-rfp-set,Worked Rfp Set,Worked Rfp Set,Michigan Supreme Court / State of Michigan,Worked synthetic example,Worked synthetic example,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Synthetic example""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,examples/worked-rfp-set.md,"[""examples/worked-rfp-set.md""]",,,,,,,,
foc-124-dv-screening,"FOC 124, Domestic Violence Screening",FOC 124,SCAO,FOC 124,FOC 124,official_form,binding_if_applicable,Michigan statewide FOC practice,DV screening instrument; not visible to other parent per FOC practice guidance — confirm FOCB materials and local FOC. Critical for mediation/joint meeting safety.,https://www.courts.michigan.gov/siteassets/forms/scao-approved/foc124.pdf,[],,,,,2026-08-09,2026-08-09,official URL in search index; robots-blocked fetch,URL confirmed on courts.michigan.gov forms path; content not retrieved.,SCAO FOC forms,disallow_by_robots,unavailable — see audit verification method,unknown,,[],"[""mdhhs-ivd-1-15-family-violence"", ""mji-dv-bb""]",unknown,[],free,,quote-with-citation,[],"[""Full form instructions and confidentiality legend not extracted this run."", ""Confirm local Genesee FOC administration of FOC 124.""]",high URL identity; low content verification,,"[""references/guidance/mdhhs-family-violence-and-dv-screening.md"", ""references/guidance/scao-forms.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-form-and-supplement-drift.md""]",,,forms,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
foc-68-objection,"FOC 68, Objection to Referee's Recommended Order",FOC 68,SCAO,FOC 68,FOC 68 (SCAO-approved form); seed lists Rev. 3/21 — confirm on face,official_form,binding_if_applicable,Michigan statewide,Statewide form to object to referee recommended order; local Genesee packet may wrap with instructions.,https://www.courts.michigan.gov/4a75b2/siteassets/forms/scao-approved/foc68.pdf,"[""https://www.courts.michigan.gov/siteassets/forms/scao-approved/foc68.pdf"", ""https://www.courts.michigan.gov/siteassets/forms/scao-approved/instfoc68.pdf"", ""https://www.icle.org/contentfiles/scao/FOC68.pdf""]",,,,Seed: Rev. 3/21 — MUST confirm against official PDF face,2026-08-09,2026-08-09,official URL index + ICLE SCAO form mirror fetch,Official courts.michigan.gov FOC68.pdf path confirmed; robots-blocked. ICLE contentfiles/scao/FOC68.pdf fetched 2026-08-09 as nonofficial mirror.,SCAO form numbering FOC 68,official: disallow_by_robots; icle mirror: 200,unavailable — see audit verification method,unknown,,[],"[""mcr-3-215-referee-hearings"", ""genesee-foc-objection-packet"", ""mcl-552-507-referee-review""]",ad hoc SCAO revision,"[""new Rev. code on form footer""]",free,,quote-with-citation,"[""FOC 68""]","[""FORM REVISION DRIFT: seed says Rev. 3/21; confirm current official footer. Prefer courts.michigan.gov over ICLE mirror for filing.""]",high form identity; medium revision code without official PDF,,"[""references/genesee/objection-to-referee-recommendation.md"", ""references/guidance/scao-forms.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-form-and-supplement-drift.md"", ""cheatsheet/L1-pro-se-guide.md""]",,,forms,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
foc-72-records-access,"FOC 72, Request to Access Friend of the Court Records",FOC 72,SCAO,FOC 72,FOC 72,official_form,binding_if_applicable,Michigan statewide,,https://www.courts.michigan.gov/4988d1/siteassets/forms/scao-approved/foc72.pdf,"[""https://www.icle.org/contentfiles/scao/FOC72.pdf""]",,,,,2026-08-09,2026-08-09,URL index + ICLE mirror fetch,Official path robots-blocked; ICLE FOC72.pdf fetched 2026-08-09.,SCAO FOC form series,official blocked; mirror 200,unavailable — see audit verification method,unknown,,[],"[""foc-act-1982-pa-294""]",unknown,[],free,,quote-with-citation,[],"[""Confirm current Rev. code on official PDF.""]",high identity; medium revision,,"[""references/guidance/scao-forms.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-form-and-supplement-drift.md""]",,,forms,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
foc-act-1982-pa-294,Friend of the Court Act,FOC Act,Michigan Legislature,1982 PA 294; MCL 552.501 et seq.,"Friend of the Court Act, 1982 PA 294, MCL 552.501 et seq.",statute,binding,Michigan statewide,"FOC duties, structure, grievances, records, investigations/recommendations framework.",https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-Act-294-of-1982,"[""https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-552-501"", ""https://law.justia.com/codes/michigan/chapter-552/act-294-of-1982/"", ""https://codes.findlaw.com/mi/chapter-552-divorce/mi-comp-laws-552-501/""]",,,,,2026-08-09,2026-08-09,legislature URL cataloged; official site bad_robots_code; Justia act page + FindLaw 552.501 fetched,Official legislature.mi.gov URLs confirmed. Automated fetch bad_robots_code. Justia Act 294 of 1982 page and FindLaw MCL 552.501 fetched 2026-08-09 as unofficial reprints.,Michigan compiled laws chapter 552,official blocked; mirrors 200,unavailable — see audit verification method,unknown,,[],"[""mcl-552-507-referee-review"", ""sptea-1982-pa-295"", ""mcr-3-215-referee-hearings""]",legislative session,[],free,,quote-with-citation,"[""MCL 552.501"", ""MCL 552.507"", ""MCL 552.507a""]","[""Prefer legislature.mi.gov human session for authoritative text; mirrors may lag amendments.""]",high act identity; medium mirror currency,,"[""references/michigan/foc-act.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,statutes,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
foc-model-handbook,Friend of the Court Bureau Model Friend of the Court Handbook,FOC Model Handbook,SCAO Friend of the Court Bureau,FOCB Model Handbook,SCAO/FOCB Model Friend of the Court Handbook (county-hosted copies verified),official_guidance,advisory_only,Michigan statewide model (local handbooks may differ),Model plain-language handbook. Genesee has its own 2022 handbook. Prefer SCAO master if located.,,"[""https://www.courts.michigan.gov/""]",,,,,2026-08-09,2026-08-09,direct fetch of Marquette and Kalkaska hosted copies,Fetched Marquette FOCB handbook PDF and Kalkaska copy 2026-08-09. Official courts.michigan.gov master URL not confirmed.,FOCB/SCAO model content,200 on county mirrors,unavailable — see audit verification method,unknown,,[],"[""genesee-foc-handbook-2022"", ""foc-act-1982-pa-294""]",unknown,[],free,,quote-with-citation,[],"[""Official SCAO-hosted master URL not verified this run — county mirrors labeled nonofficial hosts of model content."", ""official_url is null because a current official deep link was not verified; use the listed official landing page and verify before reliance.""]",medium,,"[""references/guidance/foc-model-handbook.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,guidance,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,"[""https://cms4files.revize.com/marquettemi/departments/friend_of_the_court/docs/focb_hbk.pdf"", ""https://lookup.circuit46.org/Kalkaska/forms/c46k_focb_hbk.pdf""]",
genesee-bench-roster-composite-2026,Genesee Family Division Bench/Referee Roster — Composite Cross-Check,Family bench roster cross-check,"Composite from FOC staff page snippets, Family Court Plan, Hearsay, ICLE Q&A, judge policy PDFs",,,local_practice,informational,7th Judicial Circuit (Genesee) Family Division,NOT a single official roster document. Synthesizes multiple sources that partially conflict in currency. User must confirm assigned judge/referee with clerk.,,"[""https://www.geneseecountymi.gov/courts_and_law_enforcement/friend_of_the_court/staff_contact_information.php""]",,,,,2026-08-09,2026-08-09,search snippets + partial page fetches + LAO extracts,"FOC staff page snippet lists Family Court Judges Heath, Weier, Gadola, Hanible and Domestic Referees Butler, Cottington-Heath, Kerr, O'Brien, Juvenile Referee Hood; Hearsay/ICLE indicate Mary A. Hood and Anthony J. McDowell joined family bench from FOC referee/director roles; LAO 2024-03 predates some elevations.",All component sources name Genesee/7th Circuit Michigan,mixed,unavailable — see audit verification method,n/a (composite),,[],[],unknown,[],free,,quote-with-citation,[],"[""CONFLICT RISK: FOC staff page still listing \""Juvenile Referee Hood\"" while Judge Mary A. Hood policies PDF exists for Room 501 — roster pages lag promotions."", ""Judge Anthony J. McDowell policies PDF not successfully fetched (site robots); ICLE May 2026 Q&A says policies on 7th Circuit website."", ""Full current family-division appendix from C07 2025-04J must be manually transcribed from PDF for package L2."", ""Case-assignment LAO 2024-03 likely incomplete as to Hood/McDowell."", ""Staff contact page fetch intermittently robots-blocked."", ""official_url is null because a current official deep link was not verified; use the listed official landing page and verify before reliance.""]",medium — names corroborated across sources but official single roster not locked,,"[""references/genesee/judge-policies/ariana-e-heath.md"", ""references/genesee/judge-policies/dawn-m-weier.md"", ""references/genesee/judge-policies/john-a-gadola.md"", ""references/genesee/judge-policies/khary-l-hanible.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-high-risk-gaps.md"", ""references/audit/audit-roster-conflicts.md"", ""cheatsheet/L0-hearing-day-card.md"", ""cheatsheet/L1-pro-se-guide.md"", ""references/genesee/local-administrative-orders.md""]",,,genesee,,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,"[""https://cms2.revize.com/revize/geneseecountyjudicialcourt/Documents/General%20Information/Local%20Administrative%20Orders/2025/C07%202025-04.pdf"", ""https://cms2.revize.com/revize/geneseecountyjudicialcourt/Documents/General%20Information/Local%20Administrative%20Orders/2024/Approved-2024-03-Case-Assignments.pdf"", ""https://community.icle.org/blogs/lindsey-a-dicesare/2026/05/18/qa-with-judge-anthony-j-mcdowell-7th-circuit-court""]",
genesee-court-home,"7th Judicial Circuit Court: Genesee County, MI (court website home)",Genesee 7th Circuit home,"7th Judicial Circuit Court (Genesee County, Michigan)",,7th Judicial Circuit Court website,local_practice,informational,"7th Judicial Circuit (Genesee County, Michigan)",Jurisdiction anchor for Genesee County family/circuit court local materials. Does NOT itself state all LAOs or judge policies.,https://7thcircuitcourt.com/,"[""https://7thcircuitcourt.com/court-overview-and-resources/""]",,,,,2026-08-09,2026-08-09,direct fetch attempt + search index + secondary page confirmation,"Fetch returned bad_robots_code on 2026-08-09; domain and title confirmed via search index (title: 7th Judicial Circuit Court: Genesee County, MI) and successful fetches of cms2.revize.com court PDFs that name Genesee/Flint/C07.","Site name Genesee County, MI; contrast control fetch of circuit7.org (Florida 7th Judicial Circuit) confirms wrong-jurisdiction trap.",blocked_robots,unavailable — see audit verification method,no,,[],[],ad hoc,"[""new LAO posted"", ""judge election/appointment"", ""site redesign""]",free (automated fetch blocked by robots),,quote-with-citation,[],"[""Home page body not machine-readable this run due to robots block; human should open site directly.""]",high — domain identity confirmed; full page text not extracted,,"[""references/genesee/filing-service-efiling.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,genesee,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
family-court-plan,Genesee Family Court Plan,Genesee Family Court Plan,Michigan Supreme Court / State of Michigan,C07 2025-04J / P25 2025-02J,C07 2025-04J / P25 2025-02J,administrative_order,binding,7th Judicial Circuit (Genesee),Educational reference; verify the cited authority and current local practice before relying on it.,https://cms2.revize.com/revize/geneseecountyjudicialcourt/Documents/General%20Information/Local%20Administrative%20Orders/2025/C07%202025-04.pdf,[],,2025-06-02,2025-06-03,"Signed/dated June 2, 2025 by Chief Judge David J. Newblatt; seed note approved 6/3/2025",2026-08-09,2026-08-09,direct fetch + PDF text extraction,"Fetched PDF 2026-08-09; order numbers, rescission of C07 2025-01J, chief judge, addresses, statutory authority extracted from document.",Caption STATE OF MICHIGAN / 7TH JUDICIAL CIRCUIT / GENESEE COUNTY PROBATE COURT; C07 and P25 numbering; Flint address 900 S. Saginaw St.,200,aa3e1de54cce77e827b421d6b10480f0dc2a59665ee44e23b4e07625fb1ff0b7,no,unknown — verification required,"[""C07 2025-01J"", ""P25 2025-01J""]","[""genesee-lao-2025-04j-family-court-plan""]",at least every 2 years / on judicial assignment change,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice."", ""family division assignment change"", ""new joint LAO"", ""SCAO Family Court Plan guideline update""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""C07 2025-04J/P25 2025-02J"", ""C07 2025-04J"", ""P25 2025-02J"", ""MCL 600.1001-600.1043""]","[""Full appendix list of family-division judges must be cross-checked against case-assignment LAO and individual judge pages — assignment LAO is 2024-03 and may predate 2025 plan and newer judges (Hood, McDowell)."", ""Effective/approval date: signature block June 2, 2025 vs seed note approved 6/3/2025 — minor date ambiguity."", ""Currency and case-specific application require confirmation.""]",high,references/genesee/family-court-plan.md,"[""references/genesee/family-court-plan.md""]","[""genesee-lao-2025-04j-family-court-plan""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,
genesee-filing-service-efiling,"Genesee Filing, Service, and E-filing","Genesee Filing, Service, and E-filing",Michigan Supreme Court / State of Michigan,MCR 2.105; 2.107; 3.203; MiFILE list,MCR 2.105; 2.107; 3.203; MiFILE list,court_rule,binding,7th Judicial Circuit (Genesee),Educational reference; verify the cited authority and current local practice before relying on it.,https://mifile.courts.michigan.gov/availablecourts,"[""https://www.geneseecountymi.gov/courts_and_law_enforcement/friend_of_the_court/index.php"", ""https://info.courts.mi.gov/hubfs/mifilecourtlist.pdf"", ""https://www.courts.michigan.gov/494f83/siteassets/mifile/mifilecourtlist.pdf"", ""https://7thcircuitcourt.com/court-overview-and-resources/""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch of availablecourts page + info.courts.mi.gov hubspot PDF,Fetched mifile.courts.michigan.gov/availablecourts and info.courts.mi.gov/hubfs/mifilecourtlist.pdf on 2026-08-09. Package must state Genesee status from the fetched list face with line quote.,Michigan MiFILE program,200,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mifile-available-courts"", ""genesee-court-home"", ""genesee-foc-online-forms""]",as courts onboard,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice."", ""Genesee MiFILE expansion announcement"", ""new LAO posted"", ""judge election/appointment"", ""site redesign"", ""packet PDF replaced"", ""SCAO form revision""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""MCR 2.105"", ""MCR 2.107"", ""MCR 3.203""]","[""Absence from list is strong evidence Genesee is not on MiFILE for listed case types as of access date, but lists can change without notice — confirm with Genesee Circuit Court clerk/records."", ""Local document-management (OnBase/WebTCS/JIS) is separate from MiFILE — do not conflate imaging with statewide e-filing."", ""Home page body not machine-readable this run due to robots block; human should open site directly."", ""Individual packet URLs may use geneseecountymi vs genessecountymi (double-s) revize hosts — both observed; link rot risk."", ""Current Genesee MiFILE coverage/mandatory status must be verified against the current SCAO list and court site; this package does not certify availability. Content hash changed across two build reads; page may be dynamic. Confirm document revision/current text before use.""]",high for non-listing on fetched official lists as of 2026-08-09; medium for future status,references/genesee/filing-service-efiling.md,"[""cheatsheet/L1-pro-se-guide.md"", ""references/genesee/filing-service-efiling.md"", ""templates/proof-of-service.md""]","[""mifile-available-courts"", ""genesee-court-home"", ""genesee-foc-online-forms""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
